"X","date","store_nbr","item_nbr","units","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","perciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","RA","FZ","FG","BR","UP","MI","SN","HZ","VC","TS","DZ","BL","BC","DU","SQ","PL","FU","GR","GS","SG","PR","FG2"
1558,"2012-01-01",15,5,64,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,"2012-01-01",15,17,2,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,"2012-01-01",15,45,108,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3449,"2012-01-01",32,9,65,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3485,"2012-01-01",32,45,46,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3498,"2012-01-01",32,58,8,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3889,"2012-01-01",37,5,77,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3929,"2012-01-01",37,45,53,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6442,"2012-01-02",15,5,265,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6454,"2012-01-02",15,17,5,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6482,"2012-01-02",15,45,160,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8333,"2012-01-02",32,9,115,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8369,"2012-01-02",32,45,72,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8382,"2012-01-02",32,58,1,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8417,"2012-01-02",32,93,2,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8773,"2012-01-02",37,5,102,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8813,"2012-01-02",37,45,84,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821,"2012-01-02",37,53,3,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11326,"2012-01-03",15,5,174,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11338,"2012-01-03",15,17,1,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11366,"2012-01-03",15,45,128,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13217,"2012-01-03",32,9,69,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13253,"2012-01-03",32,45,46,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13266,"2012-01-03",32,58,3,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13657,"2012-01-03",37,5,86,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13697,"2012-01-03",37,45,68,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13705,"2012-01-03",37,53,1,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16210,"2012-01-04",15,5,212,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16222,"2012-01-04",15,17,1,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
