,X,date,store_nbr,item_nbr,units,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,perciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,RA,FZ,FG,BR,UP,MI,SN,HZ,VC,TS,DZ,BL,BC,DU,SQ,PL,FU,GR,GS,SG,PR,FG2,is_weekend,is_holiday,is_holiday_weekday,is_holiday_weekend,spring,summer,fall
0,3449,2012-01-01,32,9,65,38,18,28,0,12,21,37,0,0,0,0,0.0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1,3485,2012-01-01,32,45,46,38,18,28,0,12,21,37,0,0,0,0,0.0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2,3498,2012-01-01,32,58,8,38,18,28,0,12,21,37,0,0,0,0,0.0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3,8333,2012-01-02,32,9,115,50,16,33,0,17,28,32,0,0,0,0,0.0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,8369,2012-01-02,32,45,72,50,16,33,0,17,28,32,0,0,0,0,0.0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,8382,2012-01-02,32,58,1,50,16,33,0,17,28,32,0,0,0,0,0.0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,8417,2012-01-02,32,93,2,50,16,33,0,17,28,32,0,0,0,0,0.0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,13217,2012-01-03,32,9,69,55,31,43,0,16,33,22,0,0,0,0,0.0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13253,2012-01-03,32,45,46,55,31,43,0,16,33,22,0,0,0,0,0.0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13266,2012-01-03,32,58,3,55,31,43,0,16,33,22,0,0,0,0,0.0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18101,2012-01-04,32,9,54,58,27,43,0,16,32,22,0,0,0,0,0.0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18111,2012-01-04,32,19,1,58,27,43,0,16,32,22,0,0,0,0,0.0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18137,2012-01-04,32,45,50,58,27,43,0,16,32,22,0,0,0,0,0.0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18150,2012-01-04,32,58,2,58,27,43,0,16,32,22,0,0,0,0,0.0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,22985,2012-01-05,32,9,96,66,35,51,0,21,37,14,0,0,0,0,0.0,24.26,30.04,4.2,21,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22995,2012-01-05,32,19,1,66,35,51,0,21,37,14,0,0,0,0,0.0,24.26,30.04,4.2,21,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,23021,2012-01-05,32,45,32,66,35,51,0,21,37,14,0,0,0,0,0.0,24.26,30.04,4.2,21,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,27869,2012-01-06,32,9,55,45,25,35,0,22,31,30,0,0,0,0,0.0,24.21,30.01,3.6,12,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,27905,2012-01-06,32,45,48,45,25,35,0,22,31,30,0,0,0,0,0.0,24.21,30.01,3.6,12,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,32753,2012-01-07,32,9,81,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,32763,2012-01-07,32,19,2,39,22,31,0,23,27,34,0,0,0,0,0.16,24.19,30.07,4.6,33,5.9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
