"X","date","store_nbr","item_nbr","units","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","perciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","RA","FZ","FG","BR","UP","MI","SN","HZ","VC","TS","DZ","BL","BC","DU","SQ","PL","FU","GR","GS","SG","PR","FG2"
3889,"2012-01-01",37,5,77,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3929,"2012-01-01",37,45,53,38,18,28,0,12,21,37,0,0,0,0,0,24.6,30.59,2.5,16,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8773,"2012-01-02",37,5,102,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8813,"2012-01-02",37,45,84,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821,"2012-01-02",37,53,3,50,16,33,0,17,28,32,0,0,0,0,0,24.55,30.54,6.1,16,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13657,"2012-01-03",37,5,86,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13697,"2012-01-03",37,45,68,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13705,"2012-01-03",37,53,1,55,31,43,0,16,33,22,0,0,0,0,0,24.4,30.23,2.9,21,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18541,"2012-01-04",37,5,53,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18581,"2012-01-04",37,45,50,58,27,43,0,16,32,22,0,0,0,0,0,24.49,30.36,5.5,19,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
